lncRNA,mRNA
MALAT1 ,KIF22
MALAT1 ,KPNA2
MALAT1 ,IPO5
MALAT1 ,KRT15
MALAT1 ,KRT18
MALAT1 ,LAMB3
MALAT1 ,LAMC2
MALAT1 ,RPSA
MALAT1 ,LASP1
MALAT1 ,LGALS8
MALAT1 ,LIF
MALAT1 ,LIFR
MALAT1 ,LIG3
MALAT1 ,ABLIM1
MALAT1 ,LIMK2
MALAT1 ,LIMS1
MALAT1 ,LLGL1
MALAT1 ,LMNB1
MALAT1 ,LOXL1
MALAT1 ,LOXL2
MALAT1 ,LPP
MALAT1 ,LSAMP
MALAT1 ,LSS
MALAT1 ,BCAM
MALAT1 ,LYN
MALAT1 ,TM4SF1
MALAT1 ,M6PR
MALAT1 ,NBR1
MALAT1 ,MXD1
MALAT1 ,SMAD1
MALAT1 ,SMAD3
MALAT1 ,SMAD7
MALAT1 ,MAN1A1
MALAT1 ,MAN2A1
MALAT1 ,MAOA
MALAT1 ,MAP1A
MALAT1 ,MATN2
MALAT1 ,MCM3
MALAT1 ,MCM4
MALAT1 ,MCM6
MALAT1 ,MCM7
MALAT1 ,DNAJB9
MALAT1 ,MDM2
MALAT1 ,MEF2A
MALAT1 ,MEF2D
MALAT1 ,MEST
MALAT1 ,MFAP2
MALAT1 ,MGAT2
MALAT1 ,KITLG
MALAT1 ,MGST2
MALAT1 ,MKI67
MALAT1 ,AFF1
MALAT1 ,MLLT6
MALAT1 ,MMP1
MALAT1 ,MMP2
MALAT1 ,MMP3
MALAT1 ,MMP10
MALAT1 ,MMP14
MALAT1 ,MMP16
MALAT1 ,MOV10
MALAT1 ,CD200
MALAT1 ,MSRA
MALAT1 ,MSX2
MALAT1 ,MTCP1
MALAT1 ,MTHFR
MALAT1 ,MTNR1A
MALAT1 ,MVD
MALAT1 ,MYBL2
MALAT1 ,GADD45B
MALAT1 ,MYH3
MALAT1 ,MYH10
MALAT1 ,MYLK
MALAT1 ,MYO1C
MALAT1 ,MYO5A
MALAT1 ,MYO10
MALAT1 ,NASP
MALAT1 ,NUBP1
MALAT1 ,NCAM2
MALAT1 ,NCF2
MALAT1 ,NDUFC2
MALAT1 ,NDUFS3
MALAT1 ,NEDD4
MALAT1 ,NEDD9
MALAT1 ,NEK2
MALAT1 ,NEK3
MALAT1 ,NF2
MALAT1 ,NFATC2
MALAT1 ,NFIA
MALAT1 ,NFATC3
MALAT1 ,NFIL3
MALAT1 ,NFIX
MALAT1 ,NFKBIB
MALAT1 ,NFRKB
MALAT1 ,NFX1
MALAT1 ,SNU13
MALAT1 ,NINJ1
MALAT1 ,NNAT
MALAT1 ,NNMT
MALAT1 ,NOVA1
MALAT1 ,NPC1
MALAT1 ,NPTX1
MALAT1 ,NSF
MALAT1 ,ROR1
MALAT1 ,DDR2
MALAT1 ,NUMA1
MALAT1 ,NUP88
MALAT1 ,OCRL
MALAT1 ,ODC1
MALAT1 ,ODF2
MALAT1 ,OPA1
MALAT1 ,TNFRSF11B
MALAT1 ,OR1F1
MALAT1 ,SLC22A18
MALAT1 ,CLDN11
MALAT1 ,OVGP1
MALAT1 ,OXTR
MALAT1 ,P2RY11
MALAT1 ,P4HA1
MALAT1 ,PAFAH1B3
MALAT1 ,SERPINB2
MALAT1 ,PARN
MALAT1 ,PBX2
MALAT1 ,PC
MALAT1 ,PCBP1
MALAT1 ,PCDH7
MALAT1 ,PCDH9
MALAT1 ,PCSK5
MALAT1 ,PDGFRL
MALAT1 ,PDGFRB
MALAT1 ,PDK1
MALAT1 ,PDK2
MALAT1 ,PDPK1
MALAT1 ,PDZK1
MALAT1 ,PECAM1
MALAT1 ,PEPD
MALAT1 ,CFP
MALAT1 ,PFKFB2
MALAT1 ,PFKFB4
MALAT1 ,PFKL
MALAT1 ,PGD
MALAT1 ,PGM1
MALAT1 ,PGM5
MALAT1 ,PHEX
MALAT1 ,SERPINE2
MALAT1 ,SERPINB8
MALAT1 ,SERPINB10
MALAT1 ,PIGH
MALAT1 ,PIK3CB
MALAT1 ,PIK3CD
MALAT1 ,PIK3R2
MALAT1 ,PIN1
MALAT1 ,PKD2
MALAT1 ,PLAUR
MALAT1 ,PLCB3
MALAT1 ,PLCB4
MALAT1 ,PLD1
MALAT1 ,PLD2
MALAT1 ,PLK1
MALAT1 ,PLOD2
MALAT1 ,PLXNA1
MALAT1 ,PLXNA2
MALAT1 ,PLXNA2
MALAT1 ,PMAIP1
MALAT1 ,PMS2
MALAT1 ,POLA1
MALAT1 ,POLD2
MALAT1 ,POLE2
MALAT1 ,POLH
MALAT1 ,POLR2H
MALAT1 ,POU2F1
MALAT1 ,PPARA
MALAT1 ,PPARG
MALAT1 ,MED1
MALAT1 ,PPEF2
MALAT1 ,PPM1A
MALAT1 ,PPP1CA
MALAT1 ,PPP1R3C
MALAT1 ,PPP2R1B
MALAT1 ,PPP3CC
MALAT1 ,PRIM1
MALAT1 ,PRKAA2
MALAT1 ,PRKAB1
MALAT1 ,PRKAB2
MALAT1 ,PRKACA
MALAT1 ,PRKACB
MALAT1 ,PRKCD
MALAT1 ,PRKDC
MALAT1 ,PRKG1
MALAT1 ,PRKG2
MALAT1 ,MAPK6
MALAT1 ,MAPK8
MALAT1 ,MAPK13
MALAT1 ,MAP2K3
MALAT1 ,LGMN
MALAT1 ,RELN
MALAT1 ,PSEN1
MALAT1 ,PSMB8
MALAT1 ,PSMB9
MALAT1 ,PSMC3
MALAT1 ,PSMD11
MALAT1 ,PSME1
MALAT1 ,PTAFR
MALAT1 ,PTBP1
MALAT1 ,PTGER2
MALAT1 ,PTGS2
MALAT1 ,PTMS
MALAT1 ,PTPN12
MALAT1 ,PTPRS
MALAT1 ,PTX3
MALAT1 ,NECTIN2
MALAT1 ,PXMP2
MALAT1 ,PYGB
MALAT1 ,PYGM
MALAT1 ,QARS
MALAT1 ,RAB27B
MALAT1 ,RABGGTA
MALAT1 ,RARA
MALAT1 ,RARRES1
MALAT1 ,RASA1
MALAT1 ,RASGRF2
MALAT1 ,RBBP6
MALAT1 ,RBL1
MALAT1 ,RCVRN
MALAT1 ,REG1A
MALAT1 ,REV3L
MALAT1 ,RFC3
MALAT1 ,RFC4
MALAT1 ,RFC5
MALAT1 ,RGS4
MALAT1 ,RGS7
MALAT1 ,RHEB
MALAT1 ,RLF
MALAT1 ,BRD2
MALAT1 ,RNF6
MALAT1 ,ROBO1
MALAT1 ,RPL12
MALAT1 ,RPL24
MALAT1 ,RPS6KB2
MALAT1 ,RPS15
MALAT1 ,RPS19
MALAT1 ,RPS27
MALAT1 ,RRAD
MALAT1 ,RRM2
MALAT1 ,RSC1A1
MALAT1 ,RSC1A1
MALAT1 ,SALL2
MALAT1 ,SARS
MALAT1 ,SAT1
MALAT1 ,SBF1
MALAT1 ,SCD
MALAT1 ,SCN2A
MALAT1 ,SCN7A
MALAT1 ,SCN9A
MALAT1 ,CCL2
MALAT1 ,CCL13
MALAT1 ,SDC4
MALAT1 ,SEC13
MALAT1 ,SELPLG
MALAT1 ,MAP2K4
MALAT1 ,SFRP1
MALAT1 ,SGSH
MALAT1 ,SHMT2
MALAT1 ,STIL
MALAT1 ,SIM2
MALAT1 ,SIX1
MALAT1 ,SKIV2L
MALAT1 ,SKP2
MALAT1 ,SLC3A2
MALAT1 ,SMTN
MALAT1 ,SLC5A3
MALAT1 ,SLC6A6
MALAT1 ,SLC6A9
MALAT1 ,SLC8A1
MALAT1 ,SLC14A1
MALAT1 ,SLC16A1
MALAT1 ,SLC25A1
MALAT1 ,SLC22A1
MALAT1 ,SMARCA1
MALAT1 ,HLTF
MALAT1 ,SMARCA4
MALAT1 ,SMARCB1
MALAT1 ,SMARCC2
MALAT1 ,SNAPC1
MALAT1 ,SNCA
MALAT1 ,FSCN1
MALAT1 ,SNRPA
MALAT1 ,SNX2
MALAT1 ,SNTB2
MALAT1 ,SORL1
MALAT1 ,SOX5
MALAT1 ,SOX11
MALAT1 ,SP3
MALAT1 ,SP100
MALAT1 ,SPN
MALAT1 ,SPP1
MALAT1 ,SPR
MALAT1 ,SPTAN1
MALAT1 ,SREBF1
MALAT1 ,SRM
MALAT1 ,SRP54
MALAT1 ,SSTR1
MALAT1 ,ST13
MALAT1 ,STAT2
MALAT1 ,STC1
MALAT1 ,HSPA13
MALAT1 ,STK4
MALAT1 ,AURKA
MALAT1 ,CDKL5
MALAT1 ,AURKC
MALAT1 ,SULT1C2
MALAT1 ,SYPL1
MALAT1 ,SYT1
MALAT1 ,TACC1
MALAT1 ,TAPBP
MALAT1 ,TARBP1
MALAT1 ,TARS
MALAT1 ,TBCD
MALAT1 ,TBCE
MALAT1 ,TCEA2
MALAT1 ,TCEA3
MALAT1 ,ELOB
MALAT1 ,ELOA
MALAT1 ,TCF4
MALAT1 ,TBX3
MALAT1 ,ZNF354A
MALAT1 ,TCF19
MALAT1 ,TCF21
MALAT1 ,TEC
MALAT1 ,TEK
MALAT1 ,TERF2
MALAT1 ,TFAM
MALAT1 ,NR2F1
MALAT1 ,TFDP1
MALAT1 ,TFDP2
MALAT1 ,TGFB1
MALAT1 ,TGFB1I1
MALAT1 ,TGM2
MALAT1 ,THBS3
MALAT1 ,THRA
MALAT1 ,THY1
MALAT1 ,TK1
MALAT1 ,TLE1
MALAT1 ,SEC62
MALAT1 ,TM4SF4
MALAT1 ,TSPAN4
MALAT1 ,TM7SF2
