lncRNA,mRNA
GAS5,LINC01405
GAS5,ZNF267
GAS5,HPSE
GAS5,GYS1
GAS5,AMPD1
GAS5,C9orf66
GAS5,BPIFB3
GAS5,LINC01968
GAS5,DGUOK-AS1
GAS5,AP4B1
GAS5,PPP2R3A
GAS5,ARL6IP1
GAS5,NLE1
GAS5,ATP5PD
GAS5,SCP2
GAS5,MAP6
GAS5,U2AF1
GAS5,DNAJC24
GAS5,CCDC114
GAS5,SLC16A3
GAS5,ITIH3
GAS5,TOP1MT
GAS5,GLRX2
GAS5,DZANK1
GAS5,SH3KBP1
GAS5,DUSP26
GAS5,KCNK9
GAS5,DUT
GAS5,MLPH
GAS5,MRPS34
GAS5,CEP135
GAS5,SRP68
GAS5,CXXC1
GAS5,AZI2
GAS5,SOX21-AS1
GAS5,CD99P1
GAS5,ANXA2
GAS5,CDC25A
GAS5,RAB6A
GAS5,FGF9
GAS5,IL22RA1
GAS5,CD96
GAS5,FIBIN
GAS5,CD28
GAS5,LINC02471
GAS5,CPEB1-AS1
GAS5,SCNN1D
GAS5,OTOG
GAS5,RIMKLB
GAS5,ST3GAL5
GAS5,IREB2
GAS5,EOMES
GAS5,GOLGA8N
GAS5,ZNF136
GAS5,ZNF300
GAS5,ZNF486
GAS5,UBE2S
GAS5,CHAC2
GAS5,FEZF1-AS1
GAS5,ADO
GAS5,VAV1
GAS5,OGA
GAS5,MINDY1
GAS5,ZFR
GAS5,ANXA13
GAS5,RGR
GAS5,OR10A3
GAS5,TAF1A-AS1
GAS5,TMEM108-AS1
GAS5,PAICSP4
GAS5,MIR663AHG
GAS5,SPIDR
GAS5,EFHD1
GAS5,CBFA2T3
GAS5,ALG10B
GAS5,ZC3H14
GAS5,OVOL1
GAS5,WSB2
GAS5,DACT3
GAS5,MAPRE1
GAS5,RBP1
GAS5,RNASE1
GAS5,SLC6A17
GAS5,IL18BP
GAS5,C1orf21
GAS5,RAD51AP2
GAS5,ANGEL1
GAS5,KNTC1
GAS5,ERICH2
GAS5,SERPINB1
GAS5,NFKB2
GAS5,MATN4
GAS5,NLRX1
GAS5,LIX1L
GAS5,NADK2
GAS5,MRPL13
GAS5,SLC4A4
GAS5,KLHDC1
GAS5,UQCRHL
GAS5,EXTL3
GAS5,TRPC4
GAS5,HS3ST3A1
GAS5,ARL5B
GAS5,LTBP4
GAS5,CHRDL2
GAS5,GUCY2F
GAS5,ANKRD7
GAS5,PROZ
GAS5,DGKZP1
GAS5,GPAT2P2
GAS5,SAMD5
GAS5,EXOC3L4
GAS5,CELA2B
GAS5,LINC01141
GAS5,GOLGA8S
GAS5,KCNIP4-IT1
GAS5,DGCR12
GAS5,UBE2I
GAS5,PALM
GAS5,SDR39U1
GAS5,RALGAPB
GAS5,COL4A5
GAS5,BTN3A2
GAS5,PLAU
GAS5,FAM126A
GAS5,ZNF740
GAS5,NUP160
GAS5,TLN1
GAS5,ROMO1
GAS5,GOSR1
GAS5,EFCAB2
GAS5,YOD1
GAS5,CCZ1B
GAS5,TP53I11
GAS5,ZBTB22
GAS5,FBLN7
GAS5,NWD1
GAS5,PCP4L1
GAS5,NOP10
GAS5,MME
GAS5,ZNHIT2
GAS5,SLC5A5
GAS5,ZNF461
GAS5,TNFRSF10A-AS1
GAS5,NDUFB1
GAS5,GIGYF2
GAS5,MAP3K21
GAS5,CDC42SE2
GAS5,YAP1
GAS5,IRF2BP2
GAS5,AP1AR
GAS5,METTL4
GAS5,FLOT2
GAS5,ITGB5
GAS5,ZNF506
GAS5,RPL14
GAS5,NLRP7
GAS5,CNKSR2
GAS5,PARD6B
GAS5,HNF4G
GAS5,TMEM177
GAS5,PARM1
GAS5,PDGFA
GAS5,CCNB1IP1
GAS5,INTS6
GAS5,RBM12B
GAS5,RIMS3
GAS5,ST6GALNAC3
GAS5,KIR3DX1
GAS5,PWAR6
GAS5,P2RX3
GAS5,MAGIX
GAS5,DCBLD2
GAS5,ARF5
GAS5,ACBD4
GAS5,FBXO45
GAS5,ARHGAP25
GAS5,PPP4C
GAS5,PRKCB
GAS5,MAP2K3
GAS5,SNHG10
GAS5,RMI2
GAS5,KLHL15
GAS5,FAM216A
GAS5,LRRC49
GAS5,OSBPL9
GAS5,USP7
GAS5,ZNF44
GAS5,TXNIP
GAS5,ZFYVE16
GAS5,GDPD3
GAS5,NAT2
GAS5,BCAS3
GAS5,INTS10
GAS5,SMG1
GAS5,LINC01194
GAS5,OGDH
GAS5,PPARD
GAS5,AZIN1-AS1
GAS5,TNFRSF10B
GAS5,GHDC
GAS5,SULF1
GAS5,BRWD1
GAS5,STRIP2
GAS5,ANKRD54
GAS5,IPO9
GAS5,ZNF708
GAS5,MYOF
GAS5,MANBA
GAS5,FZD10
GAS5,CPSF1P1
GAS5,RAPGEF6
GAS5,ATP6V1F
GAS5,SNORD116-2
GAS5,NFXL1
GAS5,FERMT2
GAS5,GDF15
GAS5,ARL3
GAS5,LINC01795
GAS5,HEXIM1
GAS5,UBAC1
GAS5,CSNK2A2
GAS5,ZNF354B
GAS5,DGLUCY
GAS5,VAMP4
GAS5,NUDT9
GAS5,JAG1
GAS5,CCDC150P1
GAS5,ZNF678
GAS5,SHISA6
GAS5,POLR2B
GAS5,ASPM
GAS5,TPRA1
GAS5,IRF2BPL
GAS5,GPC4
GAS5,APAF1
GAS5,C1GALT1C1
GAS5,NOS3
GAS5,NAGA
GAS5,DNAL1
GAS5,MYO1D
GAS5,CACUL1
GAS5,PRDX1
GAS5,ANGEL2
GAS5,POLL
GAS5,HDGFL3
GAS5,COG5
GAS5,BBC3
GAS5,ZNF579
GAS5,GTPBP10
GAS5,NIPAL3
GAS5,VEGFA
GAS5,GOLT1A
GAS5,DCAF12L1
GAS5,MRPL14
GAS5,TMEM150A
GAS5,DYRK2
GAS5,CDCA5
GAS5,SEPT7
GAS5,CAND2
GAS5,RPL32
GAS5,SCUBE1
GAS5,A2ML1
GAS5,LINC00599
GAS5,AP1S2
GAS5,HEG1
GAS5,ZNF789
GAS5,FAM83G
GAS5,USP31
GAS5,TEX15
GAS5,SYTL1
GAS5,TSPY26P
GAS5,BMS1
GAS5,TMEM151A
GAS5,TAOK1
GAS5,DNAJB9
GAS5,ZNF83
GAS5,STT3B
GAS5,SFXN3
GAS5,MRPL37
GAS5,ZNF84
GAS5,CCNL2
GAS5,ITPR3
GAS5,SCARB1
GAS5,CACNA1E
GAS5,RFWD3
GAS5,MTHFD2
GAS5,YTHDF3
GAS5,MSH2
GAS5,CCDC141
GAS5,DDIAS
GAS5,AKTIP
GAS5,SIKE1
GAS5,ANKRD12
GAS5,KDELC2
GAS5,NKAIN4
GAS5,BOLA1
GAS5,ABLIM2
GAS5,ZBTB11
GAS5,FAM160B2
GAS5,PTPN11
GAS5,RBBP8
GAS5,NAA25
GAS5,ANP32B
GAS5,SRP54
GAS5,CLIP1
GAS5,SLC25A23
GAS5,FOXN2
GAS5,TNKS2
GAS5,YLPM1
GAS5,LAMTOR4
GAS5,ALYREF
GAS5,SCLY
GAS5,ZC3H8
GAS5,ESCO1
GAS5,FKBP10
GAS5,TIMM29
GAS5,ASNA1
GAS5,PDLIM1
GAS5,FOSL2
GAS5,TMEM254
GAS5,POLR3E
GAS5,RPS26
GAS5,MIB1
GAS5,RPL10A
GAS5,SSR1
GAS5,PELI1
GAS5,PPP1R10
GAS5,UBAP2L
GAS5,P3H3
GAS5,NDRG1
GAS5,SNAPC5
GAS5,RIF1
GAS5,PPOX
GAS5,NPR2
GAS5,EIF3H
GAS5,H3F3B
GAS5,TAPT1
GAS5,PRDX4
GAS5,SMIM4
GAS5,RNF5
GAS5,GTF2B
GAS5,RPS11
GAS5,BTG2
GAS5,TOP1
GAS5,MPHOSPH10
GAS5,TBK1
GAS5,SLC35E1
GAS5,HSPH1
GAS5,SNX18
GAS5,TMCC1
GAS5,POLR2H
GAS5,RDX
GAS5,FRS2
GAS5,RPS12
GAS5,LARP6
GAS5,RNF20
GAS5,ARHGAP39
GAS5,SCML2
GAS5,COPS2
GAS5,BIRC6
GAS5,RYR1
GAS5,POLD1
GAS5,UHRF1BP1
GAS5,CREB3L2
GAS5,FAM169A
GAS5,PLA2G4C
GAS5,PFN1
GAS5,AJUBA
GAS5,DDOST
GAS5,CTR9
GAS5,RTL5
GAS5,RPL13
GAS5,SYN2
GAS5,ZMYM4
GAS5,KIRREL2
GAS5,SNX13
GAS5,BRIP1
GAS5,EXOSC6
GAS5,GALK1
GAS5,SMARCB1
GAS5,FER
GAS5,MTAP
GAS5,ACTG1
GAS5,HAGH
GAS5,TEAD4
GAS5,RPS7
GAS5,CCDC88B
GAS5,CCNT2
GAS5,INTS2
GAS5,ADI1
GAS5,NEK1
GAS5,RNF146
GAS5,PI4K2B
GAS5,YBEY
GAS5,CD24
GAS5,SH3RF1
GAS5,CWC25
GAS5,CD9
GAS5,KLHL17
GAS5,FBXO25
GAS5,EIF4A3
GAS5,SNX7
GAS5,NAB2
GAS5,CAMLG
GAS5,F2R
GAS5,ANK2
GAS5,CDIP1
GAS5,CDK14
GAS5,CDK5R1
GAS5,TAF1D
GAS5,TBC1D15
GAS5,SELENON
GAS5,DAD1
GAS5,TMEM64
GAS5,EIF4G2
GAS5,MMP24OS
GAS5,GPATCH2
GAS5,RANBP1
GAS5,UGT8
GAS5,YME1L1
GAS5,ZNF431
GAS5,UTP20
GAS5,RPL19
GAS5,PTGES2
GAS5,HAX1
GAS5,TMPO
GAS5,SCMH1
GAS5,PRKCZ
GAS5,SALL4
GAS5,FARP2
GAS5,TDRD3
GAS5,SPRY2
GAS5,CYC1
GAS5,PKIA
GAS5,OAZ1
GAS5,RPS15A
GAS5,PSMB4
GAS5,TROAP
GAS5,SLC9A1
GAS5,CHCHD6
GAS5,ETS1
GAS5,PLCB4
GAS5,ERMP1
GAS5,DCAF13
GAS5,UTP15
GAS5,GRIK5
GAS5,MRC2
GAS5,MAPK9
GAS5,TIPARP
GAS5,BEX2
GAS5,NLGN3
GAS5,DENND5B
GAS5,PRDM2
GAS5,TMEM161A
GAS5,NPR1
GAS5,POLR2K
GAS5,PLCH1
GAS5,KRCC1
GAS5,ADSS
GAS5,DECR1
GAS5,TOMM20
GAS5,CLDN19
GAS5,SMC4
GAS5,ISYNA1
GAS5,BROX
GAS5,ZIK1
GAS5,CUL9
GAS5,FLAD1
GAS5,TRMU
GAS5,TCEA2
GAS5,SMARCAD1
GAS5,ZNF462
GAS5,DHPS
GAS5,TNIP1
GAS5,SPAG5
GAS5,COL4A2
GAS5,RTKN2
GAS5,POM121
GAS5,ENAH
GAS5,PEX14
GAS5,USP14
GAS5,CDC20
GAS5,PKM
GAS5,SLC2A1
GAS5,PCNX3
GAS5,DCXR
GAS5,WDR55
GAS5,IFNGR1
GAS5,ERVH48-1
GAS5,SSU72
GAS5,AGTPBP1
GAS5,TAGLN2
GAS5,PHF2
GAS5,PHF6
GAS5,SETX
GAS5,FSCN1
GAS5,PSMD11
GAS5,OPTN
GAS5,SLC50A1
GAS5,TDRP
GAS5,ORAI1
GAS5,MEGF8
GAS5,ID1
GAS5,ZBTB5
GAS5,SLC12A7
GAS5,PTCH1
GAS5,TRAF5
GAS5,SMG7
GAS5,AMMECR1
GAS5,RAB17
GAS5,ATP2B1
GAS5,CREB3L1
GAS5,PRDX2
GAS5,ISOC2
GAS5,USF3
GAS5,EIF3F
GAS5,MKRN1
GAS5,DCTN5
GAS5,TIMP1
GAS5,ELP3
GAS5,SUCO
GAS5,ZNF24
GAS5,GFOD2
GAS5,BZW2
GAS5,GNA12
GAS5,MIOS
GAS5,WDHD1
GAS5,KDELR2
GAS5,HNRNPH1
GAS5,MAGT1
GAS5,LMAN1
GAS5,ME2
GAS5,HEATR6
GAS5,TSHZ3
GAS5,DRG2
GAS5,TRIB1
GAS5,SPINT2
GAS5,PFKP
GAS5,SCAP
GAS5,PRPF38A
GAS5,BDP1
GAS5,NUTF2
GAS5,SLC15A4
GAS5,RNF185
GAS5,COX6A1
GAS5,CLDN6
GAS5,MEST
GAS5,RPL11
GAS5,CLIC4
GAS5,SEC11A
GAS5,UNC5B
GAS5,GCNT2
GAS5,AKR1A1
GAS5,PLK4
GAS5,HAUS6
GAS5,TXLNGY
GAS5,VANGL2
GAS5,PPP2R2D
GAS5,PTPRJ
GAS5,SNRPF
GAS5,PPP1R11
GAS5,PLS1
GAS5,DELE1
GAS5,WDFY1
GAS5,GJC1
GAS5,COPS5
GAS5,B3GNT7
GAS5,CNPY3
GAS5,SH3PXD2B
GAS5,CAPN2
GAS5,PPP6C
GAS5,RRS1
GAS5,HSPA2
GAS5,TSPAN17
GAS5,PHF3
GAS5,SLC5A3
GAS5,CUTA
GAS5,GFPT2
GAS5,LRRC75A-AS1
GAS5,GMPR2
GAS5,MGRN1
GAS5,TIMELESS
GAS5,P4HA1
GAS5,APMAP
GAS5,MED25
GAS5,KMT2A
GAS5,BUB3
GAS5,GRK6
GAS5,TXNL4A
GAS5,ANAPC7
GAS5,AHNAK
GAS5,PTAR1
GAS5,GOT2
GAS5,ABCC1
GAS5,RBM25
GAS5,CYB5R3
GAS5,CLINT1
GAS5,ETV1
GAS5,PIK3C2A
GAS5,PBX1
GAS5,UTP18
GAS5,SAFB
GAS5,RBM39
GAS5,RNF167
GAS5,CCT2
GAS5,BIRC5
GAS5,KDM3A
GAS5,PPIA
GAS5,POU2F1
GAS5,FZD7
GAS5,GNAI2
GAS5,RPL24
GAS5,MYBL2
GAS5,USP10
GAS5,CDK16
GAS5,RPL37A
GAS5,NACA
GAS5,TALDO1
GAS5,UQCRC1
GAS5,ARPP19
GAS5,TCERG1
GAS5,ACLY
GAS5,SLC25A6
GAS5,PSAP
GAS5,RPS18
GAS5,LSS
GAS5,JADE1
GAS5,FN1
GAS5,DDX21
GAS5,DHX9
GAS5,RPL35A
GAS5,UBC
GAS5,TKT
GAS5,UGP2
GAS5,APOE
GAS5,APLP2
GAS5,MORF4L2
GAS5,PGAM1
GAS5,RPS6
GAS5,CLTC
GAS5,ATP5F1A
GAS5,RHOA
GAS5,MYL6
GAS5,PRRC2C
GAS5,PGK1
GAS5,TPX2
GAS5,RPL27A
GAS5,RPL41
GAS5,YBX1
GAS5,SNHG14
GAS5,HSP90B1
GAS5,RACK1
GAS5,CALR
GAS5,ESRG
GAS5,ACTB
GAS5,SCD
GAS5,ND1
GAS5,GDI2
GAS5,PSAT1
GAS5,SYNCRIP
GAS5,SON
GAS5,OLFML3
GAS5,G2E3
GAS5,RPL23
GAS5,HNRNPA2B1
GAS5,SLC3A2
GAS5,PPP1R1B
GAS5,ANKRD10-IT1
GAS5,NDUFB10
GAS5,MTR
GAS5,TRMT112
GAS5,ARL5B
GAS5,PWAR6
GAS5,PKP2
GAS5,RPS2P5
GAS5,DNAJB11
GAS5,TMEM64
GAS5,CYTB
GAS5,BTN3A2
GAS5,MALAT1
GAS5,TLN1
GAS5,KRT74
GAS5,NPFFR1
GAS5,SOST
GAS5,SNORD67
GAS5,EIF4G2
GAS5,PIK3R2
GAS5,GPAT2P2
GAS5,RNU2-7P
GAS5,KCNMA1-AS3
GAS5,LINC01277
GAS5,ZBTB20-AS5
GAS5,FOSL1P1
GAS5,RASA2-IT1
GAS5,STAU2-AS1
GAS5,SCGB1B2P
GAS5,KLRC1
GAS5,CYLC2
GAS5,ARL14
GAS5,RNU6-1209P
GAS5,RNU6-549P
GAS5,MIR640
GAS5,RPL21P107
GAS5,ALG13-AS1
GAS5,TCF7L1-IT1
GAS5,LINC00604
GAS5,RNU6-826P
GAS5,H2AFVP1
GAS5,CFAP206
GAS5,SET
GAS5,SCD
SNHG1,SERPINA9
SNHG1,IFI6
SNHG1,S100B
SNHG1,UBQLNL
SNHG1,KIR2DS3
SNHG1,TMEM155
SNHG1,FSHB
SNHG1,GNG2
SNHG1,MAGEA10-MAGEA5
SNHG1,MATN3
SNHG1,FCRL4
SNHG1,CEACAM4
SNHG1,IFIH1
SNHG1,MEGF10
SNHG1,TRIM34
SNHG1,CCL18
SNHG1,OR10V1
SNHG1,HTR3E
SNHG1,FAP
SNHG1,IFI27
SNHG1,OAS1
SNHG1,SELPLG
SNHG1,STAT1
SNHG1,FAM19A2
SNHG1,CAND1
SNHG1,IRX2
SNHG1,NT5DC2
SNHG1,CCL7
SNHG1,GYS2
SNHG1,IFI44
SNHG1,GIMAP7
SNHG1,OAS3
SNHG1,OR2W5
SNHG1,SFRP5
SNHG1,FGF6
SNHG1,GFRAL
SNHG1,REG4
SNHG1,PLXNB3
SNHG1,ZNF571
SNHG1,DDX58
SNHG1,IFIT1
SNHG1,MS4A13
SNHG1,LIN28B
SNHG1,SLC7A4
SNHG1,DYNLRB2
SNHG1,TRAM1L1
SNHG1,MYO3B
SNHG1,DTX3L
SNHG1,ISG15
SNHG1,OR5AU1
SNHG1,PRAMEF8
SNHG1,ADAMTS15
SNHG1,ARMC3
SNHG1,IFI44L
SNHG1,TCF4
SNHG1,ADCY2
SNHG1,KRT1
SNHG1,ZNF461
SNHG1,VGLL2
SNHG1,LIPI
SNHG1,SPATA16
SNHG1,HLA-DRB4
SNHG1,IRF9
SNHG1,KRT38
SNHG1,SLC16A8
SNHG1,MAF
SNHG1,TEX12
SNHG1,OR4D9
SNHG1,SPATA19
SNHG1,MX1
SNHG1,FAM124B
SNHG1,SLC2A10
SNHG1,NHSL2
SNHG1,IFITM1
SNHG1,TMEM176A
SNHG1,RNF133
SNHG1,PLXDC1
SNHG1,PARP9
SNHG1,PECAM1
SNHG1,HEY2
SNHG1,PDGFRB
SNHG1,HERC3
SNHG1,GADL1
SNHG1,ITGB3
SNHG1,OR1G1
SNHG1,KCNA5
SNHG1,LRRC74A
SNHG1,SAMD9L
SNHG1,TDRD1
SNHG1,SLC34A2
SNHG1,LGALS3BP
SNHG1,IFIT3
SNHG1,MRPL2
SNHG1,TBC1D21
SNHG1,ENOX1
SNHG1,GATM
SNHG1,PCDHB5
SNHG1,IRS4
SNHG1,USHBP1
SNHG1,COL5A3
SNHG1,MYOZ2
SNHG1,NTRK3
SNHG1,TFEC
SNHG1,ATP1B4
SNHG1,PALM2
SNHG1,USP18
SNHG1,FGF16
SNHG1,FCGR3A
SNHG1,RIMBP2
SNHG1,OASL
SNHG1,SEC14L6
SNHG1,HSH2D
SNHG1,EIF2AK2
SNHG1,SLC5A8
SNHG1,SPRR2A
SNHG1,IFITM3
SNHG1,UGT2B11
SNHG1,FOXC2
SNHG1,TMPRSS11F
SNHG1,STAP1
SNHG1,EXO5
SNHG1,FCRLA
SNHG1,LGALS9C
SNHG1,SNF8
SNHG1,SAMD9
SNHG1,CD226
SNHG1,MYO7B
SNHG1,SLC24A3
SNHG1,CASP10
SNHG1,DTYMK
SNHG1,ZBED6CL
SNHG1,OVCH1
SNHG1,RARRES3
SNHG1,WDR34
SNHG1,KLHL11
SNHG1,STATH
SNHG1,POSTN
SNHG1,HERC5
SNHG1,PATL2
SNHG1,CCL18
SNHG1,PCDHB5
SNHG1,CASP12
SNHG1,RPS4Y1
SNHG1,PDGFRB
SNHG1,OR56A4
SNHG1,CPA5
SNHG1,SLC2A10
SNHG1,C7orf69
SNHG1,GAP43
SNHG1,NLRP7
SNHG1,DLX3
SNHG1,RGS7
SNHG1,DUSP27
SNHG1,NLGN3
SNHG1,OR10A4
SNHG1,KCNJ4
SNHG1,IL10
SNHG1,DAZ1
SNHG1,CDH6
SNHG1,HSPB9
SNHG1,OBP2A
SNHG1,OR6C74
SNHG1,CFAP206
SNHG1,TMEM30B
SNHG1,TOPAZ1
SNHG1,GAGE2B
SNHG1,COL5A3
SNHG1,HLA-DRB4
SNHG1,ZNF571
SNHG1,DMRT3
SNHG1,CNR2
SNHG1,CHRM1
SNHG1,ODF1
SNHG1,RPRM
SNHG1,ZNF432
SNHG1,KRT75
SNHG1,UGT1A8
SNHG1,SHF
SNHG1,GJA10
SNHG1,PATE4
SNHG1,ADGRG7
SNHG1,KRT40
SNHG1,OR4K13
SNHG1,FAM174B
SNHG1,OR1L4
SNHG1,TIFAB
SNHG1,OR6F1
SNHG1,TLR2
SNHG1,MANSC1
SNHG1,ARMC2
SNHG1,ZFP28
SNHG1,CETP
SNHG1,PROK1
SNHG1,WBP2NL
SNHG1,TBX1
SNHG1,OLIG1
SNHG1,ESX1
SNHG1,SLC5A10
SNHG1,GYS2
SNHG1,PKHD1L1
SNHG1,ALKAL1
SNHG1,STATH
SNHG1,SALL1
SNHG1,ZFY
SNHG1,TAS2R16
SNHG1,TMEM207
SNHG1,LHX4
SNHG1,CPEB1
SNHG1,LARGE1
SNHG1,EPS8L3
SNHG1,MUC21
SNHG1,CLEC9A
SNHG1,FOXC2
SNHG1,SYNPR
SNHG1,SCGB2A1
SNHG1,PRICKLE2
SNHG1,RNLS
SNHG1,LAMP5
SNHG1,GTSF1L
SNHG1,GPR141
SNHG1,DYNLRB2
SNHG1,NLGN4X
SNHG1,NELL1
SNHG1,HOXB1
SNHG1,SIGLEC10
SNHG1,ADH1A
SNHG1,CHRNB3
SNHG1,ASB5
SNHG1,C14orf39
SNHG1,DNAJB3
SNHG1,PASD1
SNHG1,COL23A1
SNHG1,OTX2
SNHG1,UPP2
SNHG1,MMP16
SNHG1,VN1R4
SNHG1,OPRM1
SNHG1,CNGA2
SNHG1,RP1
SNHG1,CCDC54
SNHG1,HOXD13
SNHG1,PYHIN1
SNHG1,VWC2
SNHG1,FAM198B
SNHG1,RNF175
SNHG1,FOXD3
SNHG1,LMX1A
SNHG1,RHAG
SNHG1,GPR12
SNHG1,ALX3
SNHG1,HGC6.3
SNHG1,CCL2
SNHG1,AKAIN1
SNHG1,OR5AN1
SNHG1,DEFA5
SNHG1,SLC25A31
SNHG1,PNPLA1
SNHG1,CACNA1E
SNHG1,APCDD1
SNHG1,OR5K3
SNHG1,SMIM5
SNHG1,AFP
SNHG1,LRRN1
SNHG1,DEFB123
SNHG1,MYOC
SNHG1,TEDDM1
SNHG1,STK31
SNHG1,REG4
SNHG1,SPANXN1
SNHG1,SLC26A8
SNHG1,PRAMEF10
SNHG1,TRIM48
SNHG1,FOXN4
SNHG1,ZNF385D
SNHG1,DNTT
SNHG1,TEX33
SNHG1,LRRIQ1
SNHG1,LOC100130451
SNHG1,ARPP21
SNHG1,OR4C13
SNHG1,MMRN1
SNHG1,FAM9A
SNHG1,PRL
SNHG1,ST8SIA2
SNHG1,LUZP2
SNHG1,C8A
SNHG1,APOBEC3A
SNHG1,NPFFR2
SNHG1,TMEM255A
SNHG1,OR1S1
SNHG1,DEFA4
SNHG1,LPAR4
SNHG1,CELF2
SNHG1,GSC
SNHG1,C1orf127
SNHG1,SAGE1
SNHG1,HCN1
SNHG1,ZNF529
SNHG1,NCALD
SNHG1,TMSB4Y
SNHG1,RAMP2
SNHG1,KRTAP3-1
SNHG1,RORA
SNHG1,MTUS2
SNHG1,DTHD1
SNHG1,SCCPDH
SNHG1,SCP2D1
SNHG1,OR13J1
SNHG1,FAM170A
SNHG1,EBLN1
SNHG1,ANO5
SNHG1,OR6P1
SNHG1,FCRL4
SNHG1,SFRP5
SNHG1,ELAVL3
SNHG1,CCR9
SNHG1,SOX14
SNHG1,DEFB125
SNHG1,C17orf47
SNHG1,OR4C46
SNHG1,FSTL5
SNHG1,OR8D2
SNHG1,PCDH8
SNHG1,C17orf99
SNHG1,ARMCX2
SNHG1,TMPRSS11BNL
SNHG1,DEFB133
SNHG1,SLAMF6
SNHG1,HTR2A
SNHG1,PCDH17
SNHG1,NALCN
SNHG1,TNFAIP6
SNHG1,LECT2
SNHG1,BANF2
SNHG1,SORCS2
SNHG1,GABRB1
SNHG1,GALNTL5
SNHG1,SULF1
SNHG1,CRYAA
SNHG1,OPRPN
SNHG1,HPGD
SNHG1,GC
SNHG1,NXPH2
SNHG1,CST9
SNHG1,SPATA31D4
SNHG1,GALC
SNHG1,FMO2
SNHG1,SLC17A1
SNHG1,NXF2
SNHG1,KRTAP21-3
SNHG1,ITGB2
SNHG1,CYSLTR1
SNHG1,F13A1
SNHG1,AADACL3
SNHG1,IFNA14
SNHG1,DMRT2
SNHG1,WFIKKN1
SNHG1,PTGER3
SNHG1,NPTX1
SNHG1,PGBD5
SNHG1,PRSS37
SNHG1,SLC36A2
SNHG1,KIF25
SNHG1,CFAP300
SNHG1,S1PR1
SNHG1,CHST10
SNHG1,C9orf135
SNHG1,TMIGD1
SNHG1,MAGEB6
SNHG1,GJA8
SNHG1,HTR1F
SNHG1,NCR2
SNHG1,EYA4
SNHG1,CALN1
SNHG1,NMBR
SNHG1,WFDC11
SNHG1,LINC01565
SNHG1,HAND2
SNHG1,KRTAP15-1
SNHG1,KRT38
SNHG1,FRG2
SNHG1,TMEM74
SNHG1,OR5M8
SNHG1,OR1D5
SNHG1,MSMB
SNHG1,NPS
SNHG1,CCNA1
SNHG1,KRTAP4-1
SNHG1,FAM129C
SNHG1,AFAP1L2
SNHG1,TRMT9B
SNHG1,ALOX5
SNHG1,HS3ST4
SNHG1,DDX53
SNHG1,PTCHD3
SNHG1,HS6ST3
SNHG1,IFI6
SNHG1,SCN9A
SNHG1,C10orf105
SNHG1,SPANXN4
SNHG1,OR10Q1
SNHG1,DEFB121
SNHG1,KRTAP3-2
SNHG1,EPHA10
SNHG1,C11orf16
SNHG1,DAPL1
SNHG1,AFM
SNHG1,AK9
SNHG1,GLP1R
SNHG1,PODN
SNHG1,LSAMP
SNHG1,CD1C
SNHG1,CSMD3
SNHG1,PIANP
SNHG1,CDC5L
SNHG1,FRMD4B
SNHG1,HEPACAM
SNHG1,OR10J5
SNHG1,WIPF1
SNHG1,CLDN25
SNHG1,OR52K1
SNHG1,LLCFC1
SNHG1,SDC2
SNHG1,CCL8
SNHG1,HNMT
SNHG1,TBX5
SNHG1,FABP12
SNHG1,DPPA4
SNHG1,CD69
SNHG1,KCNJ2
SNHG1,S100A7A
SNHG1,CT55
SNHG1,CPLX3
SNHG1,NAP1L2
SNHG1,KANK4
SNHG1,TRAT1
SNHG1,HTN3
SNHG1,NPAS4
SNHG1,CTXN3
SNHG1,PIP5K1B
SNHG1,KRT1
SNHG1,DDX1
SNHG1,PXT1
SNHG1,ACAP1
SNHG1,PRAMEF14
SNHG1,OLIG2
SNHG1,HTR1A
SNHG1,GPR88
SNHG1,UNC5D
SNHG1,OR9G9
SNHG1,POSTN
SNHG1,SPOCD1
SNHG1,LYPD4
SNHG1,STARD13
SNHG1,TARP
SNHG1,ZC2HC1B
SNHG1,CST9L
SNHG1,BMP3
SNHG1,URAD
SNHG1,ADGRV1
SNHG1,SLC18A2
SNHG1,GLRA1
SNHG1,FOXR2
SNHG1,MMP12
SNHG1,C17orf77
SNHG1,UNC5C
SNHG1,PCDHA5
SNHG1,HFM1
SNHG1,C8orf88
SNHG1,ZNF287
SNHG1,PAGE4
SNHG1,DOCK11
SNHG1,CAMP
SNHG1,OR10K2
SNHG1,RNF150
SNHG1,ZNF804B
SNHG1,LCN10
SNHG1,CYP4A11
SNHG1,KIF2B
SNHG1,NPSR1
SNHG1,BMP2
SNHG1,OR2W3
SNHG1,CTXN2
SNHG1,HSPB3
SNHG1,OCA2
SNHG1,SPACA4
SNHG1,SLC16A8
SNHG1,KCNJ18
SNHG1,CATSPER4
SNHG1,OAS1
SNHG1,IL3
SNHG1,C10orf90
SNHG1,PTPRZ1
SNHG1,TMEM225
SNHG1,TEX47
SNHG1,MPPED2
SNHG1,ANKRD30B
SNHG1,TRIM29
SNHG1,MS4A3
SNHG1,EDN2
SNHG1,IFI27
SNHG1,ADAMTS9
SNHG1,PCDHA12
SNHG1,BARX2
SNHG1,LINGO2
SNHG1,FAM47B
SNHG1,BRDT
SNHG1,ARL4C
SNHG1,HEATR9
SNHG1,SLC7A3
SNHG1,FRRS1L
SNHG1,LYZL1
